SUB_ID,DIM_ID,NAT_KEY_TYP_ID,FRC_LKP,PRE_KEY
20,27,56,Y,N
20,28,57,Y,N
20,29,58,Y,N
20,30,59,Y,N
20,31,60,Y,N
20,32,61,Y,N
20,33,62,Y,N
20,34,63,Y,N
20,35,64,Y,N
20,36,65,Y,N
20,37,66,Y,N
20,38,67,Y,N
1,6,8,Y,N
2,3,14,Y,N
5,15,27,Y,N
15,6,35,Y,N
2,6,35,Y,N
5,8,33,Y,N
15,9,37,Y,N
1,9,4,Y,N
1,10,6,Y,N
2,11,38,Y,N
1,8,1,Y,N
5,9,37,Y,N
5,3,23,Y,N
7,9,37,Y,N
5,17,29,Y,N
11,3,31,Y,N
1,3,36,y,N
2,9,37,Y,N
15,11,38,Y,N
1,12,20,Y,N
1,11,7,Y,N
1,2,2,Y,N
2,2,40,Y,N
5,14,26,Y,N
11,2,40,Y,N
15,2,40,Y,N
15,8,33,Y,N
15,10,40,Y,N
1,10,33,Y,N
5,2,40,Y,N
5,13,25,Y,N
5,16,28,Y,N
11,9,37,Y,N
15,12,55,Y,N
15,3,36,Y,N
1,39,68,Y,N
1,40,69,Y,N
12,6,70,Y,N
12,9,71,Y,N
12,11,72,Y,N
12,2,73,Y,N
12,8,74,Y,N
12,12,75,Y,N
12,3,36,Y,N
40,6,76,Y,N
40,9,78,Y,N
40,11,79,Y,N
40,2,73,Y,N
40,8,77,Y,N
40,3,36,Y,N
